SRC_ID	TGT_ID	SRC_LANG	TGT_LANG	SRC_SENT	TGT_SENT	PRED
305806	4776863	eng	kan	They failed to fulfill the conditions.	ಅವರು ನಿಯಮಗಳನ್ನು ನೇರವೇರಿಸುವುದಕ್ಕೆ ಆಗಲಿಲ್ಲ.	ಅವರು ಪರಿಸ್ಥಿತಿಗಳನ್ನು ಪೂರೈಸಲು ವಿಫಲರಾದರು.
306934	4776823	eng	kan	They caught sight of the man among the crowd of people.	ಅವರು ಜನಸಮೊಹದ ನಡುವೆ ಅವನನ್ನು ಕಂಡಿದರು.	ಅವರು ಜನರ ಗುಂಪು ನಡುವೆ ಮನುಷ್ಯನ ದೃಷ್ಟಿ ಸೆಳೆದರು.
310061	4776870	eng	kan	She got married in her teens.	ಅವಳು ಹದಿವಯಸ್ಸಿನಲ್ಲಿ ಮದುವೆಯಾಗಿದಳು.	ಅವಳು ತನ್ನ ಹದಿನೈದರಲ್ಲಿ ಮದುವೆಯಾದಳು.
314424	4783939	eng	kan	She treats me as if I were a baby.	ನನ್ನನ್ನು ಎಳೆಮಗು ತರಹ ಪರಿಗಣಿಸುತ್ತಾಳೆ.	ನಾನು ಮಗುವಾಗಿದ್ದಾಗ ಅವಳು ನನ್ನನ್ನು ಪರಿಗಣಿಸುತ್ತಾಳೆ.
314869	4774669	eng	kan	She has something in her hand.	ಅವಳು ಅವಳ ಕೈಯಲ್ಲಿ ಏನೋ ಇಟ್ಟುಕೊಂಡಿದ್ದಾಳೆ.	ಅವಳು ತನ್ನ ಕೈಯಲ್ಲಿ ಏನನ್ನಾದರೂ ಹೊಂದಿದ್ದಾಳೆ.
316050	4774186	eng	kan	She seems shy, but has a strong will in practice.	ಅವಳು ನಾಚಿಕೆಪಡುತ್ತಾಳೆ ಅಂತ ಕಾಣಿಸುತ್ತೆ ಆದರೆ ನಿಜವಾಗಲು ಅವಳಿಗೆ ಜಾಸ್ತಿ ಸಂಕಲ್ಪ ಶಕ್ತಿ ಇದೆ.	ಅವಳು ನಾಚಿಕೆಪಡುತ್ತಾಳೆ, ಆದರೆ ಅಭ್ಯಾಸದಲ್ಲಿ ಬಲವಾದ ಇಚ್ will ೆಯನ್ನು ಹೊಂದಿದ್ದಾಳೆ.
316061	4775372	eng	kan	She brought up two children.	ಅವಳು ಎರಡು ಮಕ್ಕಳನ್ನು ಸಾಕಿದಳು.	ಅವಳು ಇಬ್ಬರು ಮಕ್ಕಳನ್ನು ಕರೆತಂದಳು.
317349	4776860	eng	kan	She tried to get whatever she wanted.	ಏನೆಲ್ಲಾ ಅವಳಿಗೆ ಬೇಕಿತ್ತೋ ಅದನ್ನು ಖರೀದಿಸುವುದಕ್ಕೆ ಪ್ರಯತ್ನಿಸಿದಳು.	ಅವಳು ಬಯಸಿದ ಯಾವುದನ್ನಾದರೂ ಪಡೆಯಲು ಅವಳು ಪ್ರಯತ್ನಿಸಿದಳು.
317833	4774667	eng	kan	Mr. Sato collapsed from exhaustion.	ಸಾಟೋ ಅವರು ಆಯಾಸದಿಂದ ಕುಸಿದು ಬಿದ್ದರು.	ಶ್ರೀ ಸಾಟೊ ಕ್ಷೀಣದಿಂದ ಕುಸಿಯಿತು.
318903	4775544	eng	kan	He took charge of the firm after his father's death.	ಅವನ ತಂದೆಯ ಮರಣಾನಂತರ ಅವನು ಸಂಸ್ಥೆಯ ಅಧಿಕಾರ ವಹಿಸಿಕೊಂಡಿದನು.	ತಂದೆಯ ಸಾವಿನ ನಂತರ ಅವರು ಸಂಸ್ಥೆಯ ಉಸ್ತುವಾರಿ ವಹಿಸಿಕೊಂಡರು.
319396	4783980	eng	kan	Both my father and I went to the museum for the first time.	ನಾನು ಮತ್ತು ನನ್ನ ತಂದೆ ಮೊದಲ ಬಾರಿಗೆ ಸಂಗ್ರಾಲಯಕ್ಕೆ ಹೋದ್ವಿ.	ನನ್ನ ತಂದೆ ಮತ್ತು ನಾನು ಮೊದಲ ಬಾರಿಗೆ ಮ್ಯೂಸಿಯಂಗೆ ಹೋಗಿದ್ದೆವು.
319945	4775384	eng	kan	The story got more and more exciting.	ಆ ಕಥೆ ಇನ್ನಷ್ಟು ಹೆಚ್ಚು ಅದ್ಭುತವಾಯಿತು.	ಕಥೆ ಹೆಚ್ಚು ಹೆಚ್ಚು ರೋಚಕವಾಗಿದೆ.
322719	4776791	eng	kan	In order to stay awake, I may have to drink more coffee.	ಎಚ್ಚರವಾಗಿರಲು ನಾನು ಇನ್ನು ಸ್ವಲ್ಪ ಕಾಫಿ ಕುಡಿಯಬೇಕು ಅಂತ ಅನಿಸುತ್ತೆ.	ಎಚ್ಚರವಾಗಿರಲು, ನಾನು ಹೆಚ್ಚು ಕಾಫಿ ಕುಡಿಯಬೇಕಾಗಬಹುದು.
324120	4784823	eng	kan	Eat a lot of vegetables.	ಬಹಳ ತರಕಾರಿಗಳು ತಿನ್ನು.	ಸಾಕಷ್ಟು ತರಕಾರಿಗಳನ್ನು ತಿನ್ನಿರಿ.
325552	4776541	eng	kan	His trip will keep him away from the office for a week.	ಅವನ ಪಯಣ ಅವನನ್ನು ಆಫೀಸಿನಿಂದ ದೂರ ಇಡತ್ತೆ.	ಅವರ ಪ್ರವಾಸವು ಅವನನ್ನು ಒಂದು ವಾರ ಕಚೇರಿಯಿಂದ ದೂರವಿರಿಸುತ್ತದೆ.
329713	3350633	eng	kan	Good morning!	ಶುಭೋದಯ.	ಶುಭೋದಯ!
360558	8902974	eng	kan	See you later!	ಮತ್ತೆ ಸಿಗೋಣ	ನಂತರ ನಿಮ್ಮನ್ನು ನೋಡಿ!
373320	8902982	eng	kan	How are you?	ಹೇಗಿದ್ದೀರ	ನೀವು ಹೇಗಿದ್ದೀರಿ?
403320	4776808	eng	kan	He agrees with my opinion.	ಅವನು ನನ್ನ ಅಭಿಪ್ರಾಯವನ್ನು ಸಮ್ಮತಿಸುತ್ತಾನೆ.	ಅವರು ನನ್ನ ಅಭಿಪ್ರಾಯವನ್ನು ಒಪ್ಪುತ್ತಾರೆ.
428402	4546226	eng	kan	What time is it?	ಗಂಟೆ ಎಷ್ಟು?	ಅದು ಯಾವ ಸಮಯ?
477061	8902979	eng	kan	No.	ಇಲ್ಲ	ಇಲ್ಲ.
655682	4783948	eng	kan	Do you want to leave it like that?	ನಿಮಗೆ ಅದನ್ನು ಹಂಗೇ ಬಿಡಬೇಕಾ?	ನೀವು ಅದನ್ನು ಹಾಗೆ ಬಿಡಲು ಬಯಸುವಿರಾ?
884396	4774691	eng	kan	One can hardly change one's point of view.	ಯಾರೋ ಯಾರೊಬ್ಬರ ದೃಷ್ಟಿಕೋನವನ್ನು ಬದಲಾಯಿಸುವುದಕ್ಕೆ ತುಂಬಾನೆ ಕಷ್ಟ.	ಒಬ್ಬರ ದೃಷ್ಟಿಕೋನವನ್ನು ಬದಲಾಯಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ.
953092	4774604	eng	kan	Any time you want to borrow my car, all you have to do is ask.	ಯಾವಾಗಲಾದರು ನೀವು ನನ್ನ ಕಾರನ್ನು ಬೇಕೆಂದರೆ, ಬರಿ ಕೇಳಿ.	ನೀವು ನನ್ನ ಕಾರನ್ನು ಎರವಲು ಪಡೆಯಲು ಬಯಸಿದಾಗಲೆಲ್ಲಾ ಕೇಳುವುದು.
1007968	4776866	eng	kan	Give my regards to your family.	ನಿಮ್ಮ ಕುಟುಂಬಕ್ಕೆ ನನ್ನ ಪರವಾಗಿ ಶುಭಾಕಾಂಕ್ಷೆಗಳನ್ನು ನೀಡಿ.	ನಿಮ್ಮ ಕುಟುಂಬಕ್ಕೆ ನನ್ನ ಗೌರವಗಳನ್ನು ನೀಡಿ.
1016597	4774666	eng	kan	That's why he lost his job.	ಅದಕ್ಕೇನೇ ಅವನು ಅವನ ಕೆಲಸ ಕಳೆದುಕೊಂಡ.	ಅದಕ್ಕಾಗಿಯೇ ಅವನು ತನ್ನ ಕೆಲಸವನ್ನು ಕಳೆದುಕೊಂಡನು.
1093340	4783929	eng	kan	Tom knew who the killer was.	ಟಾಮಿಗೆ ಯಾರು ಕೊಲೆಗಾರ ಅಂತ ಗೊತ್ತಿತ್ತು.	ಕೊಲೆಗಾರ ಯಾರೆಂದು ಟಾಮ್ಗೆ ತಿಳಿದಿತ್ತು.
1096435	4774684	eng	kan	I'll let you know if I find anything interesting.	ಏನೋ ಆಕರ್ಷಕವಾಗಿದ್ದರೆ ನಾನು ನಿನಗೆ ತಿಳಿಸುತ್ತೇನೆ.	ನಾನು ಆಸಕ್ತಿದಾಯಕ ಏನನ್ನಾದರೂ ಕಂಡುಕೊಂಡಿದ್ದೇನೆ ಎಂದು ನಾನು ನಿಮಗೆ ತಿಳಿಸುತ್ತೇನೆ.
1446127	4783961	eng	kan	Are you finished reading the paper?	ನೀವು ಪತ್ರಿಕೆಯನ್ನು ಓದಿ ಮುಗಿಸಿದ್ದೀರಾ?	ನೀವು ಕಾಗದವನ್ನು ಓದುವುದನ್ನು ಮುಗಿಸಿದ್ದೀರಾ?
1564880	4774644	eng	kan	Brazil declared war on Argentina in 1825.	ಬ್ರಸಿಲು ಅರ್ಜೆಂಟೀನದ ಮೇಲೆ ಯುದ್ಧವನ್ನು ಪ್ರಕಟಿಸಿದರು.	ಬ್ರೆಜಿಲ್ ಅವರು ಅರ್ಜೆಂಟೀನಾ ಯುದ್ಧ ಘೋಷಿಸಿದರು.
1818293	4774634	eng	kan	Where can we find the truth?	ನಾವು ಸತ್ಯವನ್ನು ಎಲ್ಲಿ ಕಂಡುಹಿಡಿಯಬಹುದು?	ನಾವು ಸತ್ಯವನ್ನು ಎಲ್ಲಿ ಕಂಡುಹಿಡಿಯಬಹುದು?
1860526	4775394	eng	kan	Tell us what you know about Tom.	ಟಾಮ್ ಬಗ್ಗೆ ಏನೆಲ್ಲಾ ಗೊತ್ತೋ ನಮಗೆ ಹೇಳಿ.	ಟಾಮ್ ಬಗ್ಗೆ ನಿಮಗೆ ತಿಳಿದಿರುವುದನ್ನು ನಮಗೆ ತಿಳಿಸಿ.
1860710	4775411	eng	kan	Go to the wine cellar and get a couple of bottles of wine.	ಸರಾಯಿ ನೆಲಮಾಳಿಗೆಗೆ ಹೋಗಿ ಎರಡು ಬಾಟಲಿ ವೈನು ತೆಗೆದುಕೊಂಡು ಬನ್ನಿ.	ವೈನ್ ನೆಲಮಾಳಿಗೆಗೆ ಹೋಗಿ ಮತ್ತು ಒಂದೆರಡು ಬಾಟಲಿಗಳನ್ನು ವೈನ್ ಪಡೆಯಿರಿ.
1867852	4776862	eng	kan	Tom told Mary to go home.	ಟಾಮ್ ಮೇರಿಗೆ ಮನೆಗೆ ಹೋಗುವುದಕ್ಕೆ ಹೇಳಿದನು.	ಟಾಮ್ ಮೇರಿ ಮನೆಗೆ ಹೋಗಲು ಹೇಳಿದರು.
1872430	4776848	eng	kan	Tom won't be killing anybody else.	ಟಾಮ್ ಬೇರೆಯಾರನ್ನೂ ಕೊಲ್ಲಲ್ಲ.	ಟಾಮ್ ಬೇರೊಬ್ಬರನ್ನು ಕೊಲ್ಲುವುದಿಲ್ಲ.
1893605	4775475	eng	kan	We're working on it.	ನಾವು ಅದರ ಕುರಿತು ಕೆಲಸ ಮಾಡುತ್ತಾ ಇದ್ದೇವೆ.	ನಾವು ಅದರ ಮೇಲೆ ಕೆಲಸ ಮಾಡುತ್ತಿದ್ದೇವೆ.
1897710	4775437	eng	kan	It looks like we got lucky.	ನಮಗೆ ಅದೃಷ್ಟ ಸಿಕ್ಕಿತು ಅಂತ ಅನಿಸುತ್ತೆ.	ನಮಗೆ ಅದೃಷ್ಟವಿದೆ ಎಂದು ತೋರುತ್ತಿದೆ.
1898250	4783910	eng	kan	Some animals are afraid of fire.	ಕೆಲವೊಂದು ಪ್ರಾಣಿಗಳು ಬೆಂಕಿಗೆ ಹೆದರುತ್ತವೆ.	ಕೆಲವು ಪ್ರಾಣಿಗಳು ಬೆಂಕಿಗೆ ಭಯಪಡುತ್ತಾರೆ.
1950728	4774192	eng	kan	You can't be in two places at once.	ನಿಮಗೆ ಒಂದೇ ಬಾರಿ ಎರಡು ಜಾಗದಲ್ಲಿ ಇರುವುದಕ್ಕೆ ಆಗಲ್ಲ.	ನೀವು ಒಮ್ಮೆ ಎರಡು ಸ್ಥಳಗಳಲ್ಲಿರಲು ಸಾಧ್ಯವಿಲ್ಲ.
2007418	4784803	eng	kan	Let's get it right this time.	ಈ ಸಲ ನಾವು ಸರಿಯಾಗಿ ಮಾಡೋಣ.	ಈ ಬಾರಿ ಅದನ್ನು ಸರಿಯಾಗಿ ಪಡೆಯೋಣ.
2007628	4774678	eng	kan	Let's greet our guests.	ನಮ್ಮ ಅತಿಥಿಗಳನ್ನು ಸ್ವಾಗತಿಸೋಣ.	ನಮ್ಮ ಅತಿಥಿಗಳನ್ನು ಸ್ವಾಗತಿಸೋಣ.
2013983	4783970	eng	kan	I'd like to see the agreement.	ಒಪ್ಪ೦ದವನ್ನು ನೋಡುವುದಕ್ಕೆ ನಾನು ಇಷ್ಟಪಡುತ್ತೇನೆ.	ನಾನು ಒಪ್ಪಂದವನ್ನು ನೋಡಲು ಬಯಸುತ್ತೇನೆ.
2018792	4784814	eng	kan	I just want to say that I was wrong.	ನಾನು ತಪ್ಪು ಮಾಡಿದೆ ಎಂದು ಹೇಳಬೇಕು.	ನಾನು ತಪ್ಪು ಎಂದು ಹೇಳಲು ನಾನು ಬಯಸುತ್ತೇನೆ.
2023301	4774632	eng	kan	Are you sure we've never met before?	ನಾವು ಮುಂಚೆ ಎಂದಿಗೂ ಭೇಟಿಯಾಗಿಲ್ಲವೆಂದು ಖಚಿತವಾಗಿ ಹೇಳುತ್ತೀರಾ?	ನಾವು ಮೊದಲು ಭೇಟಿಯಾಗಿಲ್ಲ ಎಂದು ನಿಮಗೆ ಖಚಿತವಾಗಿದೆಯೇ?
2023748	4775442	eng	kan	Tom doesn't eat much meat.	ಟಾಮ್ ಹೆಚ್ಚು ಮಾಂಸ ತಿನ್ನುವುದಿಲ್ಲ.	ಟಾಮ್ ಹೆಚ್ಚು ಮಾಂಸವನ್ನು ತಿನ್ನುವುದಿಲ್ಲ.
2030096	4783940	eng	kan	How did it go last night?	ನೆನ್ನೆ ರಾತ್ರಿ ಹೇಗೆ ನಡೆಯಿತು?	ಕಳೆದ ರಾತ್ರಿ ಅದು ಹೇಗೆ ಹೋಯಿತು?
2042689	4774595	eng	kan	The only time you talk to me is when you need some money.	ಯಾವಾಗ ನಿನಗೆ ದುಡ್ಡು ಬೇಕಾದರೆ ಮಾತ್ರ ನೀನು ನನ್ನ ಜೊತೆ ಮಾತನಾಡುತ್ತೇಯ.	ನೀವು ನನ್ನೊಂದಿಗೆ ಮಾತನಾಡುವ ಏಕೈಕ ಸಮಯವೆಂದರೆ ನಿಮಗೆ ಸ್ವಲ್ಪ ಹಣ ಬೇಕು.
2043700	4776542	eng	kan	Give me half.	ಅರ್ಧ ನನಗೆ ಕೊಡು.	ನನಗೆ ಅರ್ಧವನ್ನು ನೀಡಿ.
2050589	4775526	eng	kan	What team do you play for?	ನೀವು ಯಾವ ತಂಡಕ್ಕೆ ಆಟ ಆಡುತ್ತೀರಾ?	ನೀವು ಯಾವ ತಂಡಕ್ಕೆ ಆಡುತ್ತೀರಿ?
2197361	4774675	eng	kan	In my opinion, eastern music is too noisy.	ನನ್ನ ಅಭಿಪ್ರಾಯದಲ್ಲಿ ಪೂರ್ವ ದಿಕ್ಕಿನ ಹಾಡುಗಳು ಜಾಸ್ತಿ ಸದ್ದು ಮಾಡುತ್ತೆ.	ನನ್ನ ಅಭಿಪ್ರಾಯದಲ್ಲಿ, ಪೂರ್ವ ಸಂಗೀತ ತುಂಬಾ ಗದ್ದಲವಾಗಿದೆ.
